meaning of each row,each line in encapsulation.csv file represents one vial
,
Host,Code for Drosophila host species (PST: pseudotakahashii)
Parasitoid,"Code for parasitoid species (A: Asobara sp., G: Ganaspis sp., L: Leptopilina sp., D: Trichopria sp., C: unparasitized control)"
Temp,Temperature (°C) treatment
Rep,Replicate number
flies_checked_n,Number of hosts checked for melanization
melanized_n,Number of hosts with melanization
